pkd07;pkd25;Nazwa grupowania PKD 2007;Nazwa grupowania PKD 2025;Opis zakresu klasy/podklasy
4791;4755;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna mebli, sprzętu oświetleniowego, artykułów stołowych oraz pozostałych artykułów użytku domowego;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet mebli w tym materace i podstawy łóżek zawierających sprężyny; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet sprzętu oświetleniowego; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet artykułów i sztućców gospodarstwa domowego, naczyń, wyrobów szklanych, zastawy stołowej, porcelany i ceramiki; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu wyrobów z drewna, korka i wikliny; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu nieelektrycznego sprzętu AGD; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu fotowoltaicznego sprzętu AGD; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu parasoli; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub przez Internet artykułów i sprzętu gospodarstwa domowego, gdzie indziej niesklasyfikowana; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu artykułów dziecięcych, m.in. wózki dziecięce, wózki spacerowe, chodziki, nosidełka, foteliki samochodowe dla dzieci; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu żagli"
4791;4761;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna książek;sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet książek, w tym audiobooków na nośnikach informacji
4791;4762;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna gazet i pozostałych periodyków oraz artykułów papierniczych;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet periodyków i czasopism; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet artykułów papierniczych, biurowych i szkolnych, na przykład długopisów, ołówków, papieru"
4791;4763;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna sprzętu sportowego;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet artykułów sportowych, w tym sprzęt wędkarski, broń i amunicję, artykuły kempingowe i tym podobne;  sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet łodzi; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu rowerów, w tym rowerów elektrycznych, rowerów jednokołowych, desek typu hoverboard, hulajnogów, Segwayów; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu specjalnego obuwia sportowego, m.in. buty piłkarskie, łyżwy, buty narciarskie; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu specjalistycznego sprzętu sportowego do narciarstwa, sztuk walki, baletu itp.; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu spadochronów, namiotów, śpiworów itp."
4791;4764;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna gier i zabawek;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet gier i zabawek wykonanych ze wszystkich materiałów; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet artykułów imprezowych na przykład masek, upominków na przyjęcie (kotyliony, żarty itp.), magiczne przedmioty; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu zabawkowych dronów"
4791;4769;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją, gdzie indziej niesklasyfikowana;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet zapisanych nośników informacji;  sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet instrumentów muzycznych, nut i związanych z nimi akcesoriów, na przykład smyczków, stojaków na nuty, metronomów; sprzedaż detaliczna prowadzona za pośrednictwem domów wysyłkowych lub za pośrednictwem Internetu przedmiotów filatelistycznych, numizmatycznych i kolekcjonerskich, m.in. znaczki i monety; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu artykułów artystycznych, w tym koralików, gliny, płótna, farb olejnych i akwarelowych itp."
4791;4771;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna odzieży;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet wyrobów odzieżowych, w tym bielizny;  sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet wyrobów futrzarskich;  sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet dodatków odzieżowych m.in. rękawiczki, krawaty, szelki; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu odzieży roboczej, mundurów, przebrań, strojów karnawałowych itp."
4791;4772;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna obuwia i wyrobów skórzanych;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet obuwia; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet wyrobów ze skóry;  sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet akcesoriów podróżnych ze skóry i jej zamienników"
4791;4773;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna wyrobów farmaceutycznych;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet wyrobów farmaceutycznych; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet leków weterynaryjnych;  sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Interne produktów homeopatycznych i leków bez recepty; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu ziołowych produktów leczniczych i preparatów ziołowych"
4791;4774;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna wyrobów medycznych i ortopedycznych;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet okularów korekcyjnych, soczewek i okularów przeciwsłonecznych; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet aparatów słuchowych; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet obuwia ortopedycznego; sprzedaż detaliczna kul i wózków inwalidzkich prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu; sprzedaż detaliczna protez ortopedycznych za pośrednictwem domów sprzedaży wysyłkowej lub Internetu; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu kołnierzy szyjnych i gorsetów; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu wyrobów sprężysto-kompresyjnych, m.in. elastyczne pończochy, rękawy; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu okularów przeciwsłonecznych bez korekcji"
4791;4775;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna kosmetyków i artykułów toaletowych;sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet perfum, kosmetyków, artykułów toaletowych, środków higieny osobistej i tym podobnych
4791;4776;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna kwiatów, roślin, nawozów, żywych zwierząt domowych i karmy dla zwierząt domowych;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet nawozów i środków ochrony roślin; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet zwierząt domowych i artykułów dla zwierząt domowych; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet karmy dla zwierząt domowych; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu artykułów toaletowych, higienicznych itp. dla zwierząt domowych"
4791;4777;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna zegarków i biżuterii;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet zegarków i biżuterii; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet wyrobów ze srebra"
4791;4778;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna pozostałych nowych wyrobów;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet sprzętu fotograficznego i precyzyjnego; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet sprzętu optycznego z wyłączeniem okularów i soczewek, na przykład teleskopów, mikroskopów, lornetek; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu oleju opałowego do użytku domowego, gazu w butlach, węgla i drewna opałowego, pelletu drzewnego lub biomasy; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu artykułów opakowaniowych; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu artykułów pogrzebowych i cmentarnych, m.in. urny, nagrobki; sprzedaż detaliczna sztucznej biżuterii prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu środków czystości m.in. detergenty, gąbki; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu pamiątek, wyrobów rękodzielniczych i artykułów religijnych; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub przez Internet produktów nieżywnościowych, gdzie indziej niesklasyfikowana; sprzedaż detaliczna sztucznych kwiatów i roślin prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu"
4791;4779;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna artykułów używanych;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet używanych książek; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet antyków; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet odzieży używanej; sprzedaż detaliczna mebli używanych za pośrednictwem domów wysyłkowych lub Internetu; sprzedaż detaliczna za pośrednictwem domów sprzedaży wysyłkowej lub Internetu używanego sprzętu AGD; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu innych towarów używanych"
4791;4791;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Pośrednictwo w sprzedaży detalicznej niewyspecjalizowanej;NULL
4791;4792;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Pośrednictwo w sprzedaży detalicznej wyspecjalizowanej;NULL
4799;4711;Pozostała sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami;Sprzedaż detaliczna niewyspecjalizowana z przewagą żywności, napojów lub wyrobów tytoniowych;sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami różnego rodzaju towarów (na przykład odzieży, mebli, urządzeń, sprzętu komputerowego, kosmetyków), wśród których przeważa żywność, napoje i wyroby tytoniowe
4799;4712;Pozostała sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami;Pozostała sprzedaż detaliczna niewyspecjalizowana;sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami różnego rodzaju towarów (na przykład odzieży, mebli, urządzeń, sprzętu komputerowego, kosmetyków, biżuterii, zabawek, artykułów sportowych), wśród których nie przeważa żywność
4799;4721;Pozostała sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami;Sprzedaż detaliczna owoców i warzyw;sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami świeżych owoców i warzyw, w tym cięte świeże owoce i warzywa, sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami suszonych i zakonserwowanych owoców i warzyw
4799;4722;Pozostała sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami;Sprzedaż detaliczna mięsa i wyrobów z mięsa;"sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami mięsa i wyrobów z mięsa, w tym drób i dziczyznę;  sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami flaków, wyrobów garmażeryjnych (wędlin), mięsa solonego, sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami ślimaków"
4799;4723;Pozostała sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami;Sprzedaż detaliczna ryb, skorupiaków i mięczaków;"sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami ryb, owoców morza, produktów z owoców morza i ich przetworów; sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami alg i wodorostów"
4799;4724;Pozostała sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami;Sprzedaż detaliczna pieczywa, ciast, wyrobów ciastkarskich i cukierniczych;"sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami pieczywa, ciast, wyrobów ciastkarskich i cukierniczych; sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami chleba i bułek wypiekanych na miejscu z produktów wstępnie upieczonych; sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami prowadzona chleba przygotowanego tylko przez maszynę"
4799;4725;Pozostała sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami;Sprzedaż detaliczna napojów alkoholowych i bezalkoholowych;"sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami napojów alkoholowych i bezalkoholowych bez ich konsumpcji na miejscu lub przygotowanych w lokalu;  sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami soków owocowych i warzywnych"
4799;4726;Pozostała sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami;Sprzedaż detaliczna wyrobów tytoniowych;"postaci, na przykład papierosów, cygar, tytoniu fajkowego, tytoniu do żucia; sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami wyrobów tytoniowych i wyrobów do palenia oraz akcesoriów, w tym zapalniczek, fajek, urządzeń do skręcania papierosów itp.; sprzedaż detaliczna poza sklepami, straganami i targowiskami papierosów elektronicznych i liquidów do e-papierosów stosowanych w urządzeniach do waporyzacji"
